Timestamp,Fixation Index,Fixation Duration,SourceStimuliName,source_file_line,source_file_col
533631.4225,1550,116.9288,t7_eclipse (C_5.java),21,21
533773.0744,1551,199.9649,t7_eclipse (C_5.java),20,16
534023.0574,1552,166.69215,t7_eclipse (C_5.java),15,11
534422.9819,1554,558.3074,t7_eclipse (C_5.java),20,13
535031.2829,1555,183.34095,t7_eclipse (C_5.java),20,17
535197.9091,1556,416.56515,t7_eclipse (C_5.java),20,16
535897.8445,1558,174.98565,t7_eclipse (C_5.java),21,24
536081.2373,1559,291.6276,t7_eclipse (C_5.java),16,18
536356.1828,1560,116.66505,t7_eclipse (C_5.java),16,16
536764.4968,1561,275.00775,t7_eclipse (C_5.java),21,19
536889.4132,1562,149.9784,t7_eclipse (C_5.java),21,25
537056.0473,1563,200.0048,t7_eclipse (C_5.java),23,17
537306.1047,1564,174.96125,t7_eclipse (C_5.java),22,22
537514.3991,1565,191.63395,t7_eclipse (C_5.java),22,19
537731.0118,1566,141.6355,t7_eclipse (C_5.java),21,30
538105.9445,1567,258.30625,t7_eclipse (C_5.java),22,35
538722.5676,1569,124.99,t7_eclipse (C_5.java),15,16
538914.2591,1570,149.96935,t7_eclipse (C_5.java),21,25
539147.6254,1571,125.03955,t7_eclipse (C_5.java),21,17
539339.2228,1572,616.61335,t7_eclipse (C_5.java),22,32
540055.8185,1573,274.9616,t7_eclipse (C_5.java),22,37
540355.8385,1574,283.32515,t7_eclipse (C_5.java),16,14
540930.7845,1576,241.62025,t7_eclipse (C_5.java),11,15
541205.7406,1577,191.69705,t7_eclipse (C_5.java),11,18
541405.8063,1578,74.97125,t7_eclipse (C_5.java),12,17
541514.0559,1579,141.67795,t7_eclipse (C_5.java),17,15
541739.0664,1580,158.34975,t7_eclipse (C_5.java),21,30
541930.7259,1581,308.3147,t7_eclipse (C_5.java),21,20
542280.6788,1582,224.94035,t7_eclipse (C_5.java),23,16
542530.6586,1583,216.68065,t7_eclipse (C_5.java),22,24
542930.6551,1584,141.67395,t7_eclipse (C_5.java),22,32
543205.6362,1585,141.65335,t7_eclipse (C_5.java),22,39
543430.6159,1586,133.28675,t7_eclipse (C_5.java),23,44
543655.5659,1587,241.6642,t7_eclipse (C_5.java),23,15
544463.8448,1588,141.6091,t7_eclipse (C_5.java),21,32
544588.8448,1589,83.32625,t7_eclipse (C_5.java),21,29
545238.7445,1591,483.3162,t7_eclipse (C_5.java),22,33
545788.6851,1594,108.32085,t7_eclipse (C_5.java),22,35
546046.991,1595,174.93935,t7_eclipse (C_5.java),22,35
546172.0062,1596,91.615,t7_eclipse (C_5.java),22,38
546263.6376,1597,75.0232,t7_eclipse (C_5.java),22,35
546988.567,1599,208.3408,t7_eclipse (C_5.java),22,38
547330.2281,1600,349.9615,t7_eclipse (C_5.java),22,41
548121.8518,1602,66.62265,t7_eclipse (C_5.java),22,33
548155.1379,1603,99.98985,t7_eclipse (C_5.java),22,35
548371.8002,1604,424.9489,t7_eclipse (C_5.java),22,33
548730.1179,1605,116.6208,t7_eclipse (C_5.java),22,37
548855.1248,1606,208.35055,t7_eclipse (C_5.java),22,37
549180.1756,1607,100.00285,t7_eclipse (C_5.java),16,12
549321.7524,1608,400.00415,t7_eclipse (C_5.java),15,18
549771.7327,1609,91.68735,t7_eclipse (C_5.java),12,20
549963.4475,1610,141.6994,t7_eclipse (C_5.java),12,16
550180.0894,1611,108.28535,t7_eclipse (C_5.java),22,40
550930.0017,1613,108.33815,t7_eclipse (C_5.java),21,12
551096.6308,1614,199.9625,t7_eclipse (C_5.java),20,13
551438.3793,1615,99.9866,t7_eclipse (C_5.java),21,30
551563.2781,1616,91.66545,t7_eclipse (C_5.java),21,29
551663.274,1617,91.6954,t7_eclipse (C_5.java),22,35
551804.9602,1618,241.64035,t7_eclipse (C_5.java),22,38
552113.3,1619,116.6353,t7_eclipse (C_5.java),22,42
552304.9055,1620,124.9774,t7_eclipse (C_5.java),20,15
552379.9337,1621,241.6256,t7_eclipse (C_5.java),15,12
552763.2209,1622,175.0235,t7_eclipse (C_5.java),15,17
552979.8747,1623,1041.5559,t7_eclipse (C_5.java),16,20
554579.7302,1625,125.21505,t7_eclipse (C_5.java),21,31
554763.0571,1626,91.6745,t7_eclipse (C_5.java),21,29
554971.3973,1627,208.29105,t7_eclipse (C_5.java),22,17
555188.0334,1628,91.65385,t7_eclipse (C_5.java),22,14
555554.6966,1629,191.6209,t7_eclipse (C_5.java),23,30
555896.3007,1630,124.9725,t7_eclipse (C_5.java),22,34
556096.3038,1631,391.61375,t7_eclipse (C_5.java),22,41
556521.2347,1632,99.9957,t7_eclipse (C_5.java),21,21
556629.5633,1633,108.3294,t7_eclipse (C_5.java),22,23
556787.8549,1634,116.61665,t7_eclipse (C_5.java),21,29
557096.1586,1635,125.0065,t7_eclipse (C_5.java),9,26
557312.805,1636,224.95875,t7_eclipse (C_5.java),15,20
557604.4706,1637,141.67325,t7_eclipse (C_5.java),21,28
558004.4318,1638,316.67685,t7_eclipse (C_5.java),22,35
558387.7564,1639,241.77435,t7_eclipse (C_5.java),16,16
558921.0315,1640,191.65535,t7_eclipse (C_5.java),21,29
559154.3109,1641,183.34505,t7_eclipse (C_5.java),22,35
559362.6606,1642,166.70585,t7_eclipse (C_5.java),18,18
559570.9904,1643,183.3482,t7_eclipse (C_5.java),21,24
559887.6177,1644,141.6391,t7_eclipse (C_5.java),21,17
560445.946,1646,133.2751,t7_eclipse (C_5.java),22,36
560645.8631,1647,99.99065,t7_eclipse (C_5.java),21,24
