fragment,Fixation Duration_mean,Fixation Duration_sum,Fixation Duration_max,Fixation Duration_min,Fixation Duration_median,Fixation Duration_std,Fixation Duration 250_mean,Fixation Duration 250_sum,Fixation Duration 250_max,Fixation Duration 250_min,Fixation Duration 250_median,Fixation Duration 250_std,Fixation Duration 500_mean,Fixation Duration 500_sum,Fixation Duration 500_max,Fixation Duration 500_min,Fixation Duration 500_median,Fixation Duration 500_std,Fixation Count_mean,Fixation Count_sum,Fixation Count_max,Fixation Count_min,Fixation Count_median,Fixation Count_std,Fixation Count 250_mean,Fixation Count 250_sum,Fixation Count 250_max,Fixation Count 250_min,Fixation Count 250_median,Fixation Count 250_std,Fixation Count 500_mean,Fixation Count 500_sum,Fixation Count 500_max,Fixation Count 500_min,Fixation Count 500_median,Fixation Count 500_std,fixation_NumberOfPupilPeaks_mean,fixation_NumberOfPupilPeaks_sum,fixation_NumberOfPupilPeaks_max,fixation_NumberOfPupilPeaks_min,fixation_NumberOfPupilPeaks_median,fixation_NumberOfPupilPeaks_std,fixation_PupilSize_mean_mean,fixation_PupilSize_mean_sum,fixation_PupilSize_mean_max,fixation_PupilSize_mean_min,fixation_PupilSize_mean_median,fixation_PupilSize_mean_std,fixation_PupilSize_median_mean,fixation_PupilSize_median_sum,fixation_PupilSize_median_max,fixation_PupilSize_median_min,fixation_PupilSize_median_median,fixation_PupilSize_median_std,fixation_PupilSize_max_mean,fixation_PupilSize_max_sum,fixation_PupilSize_max_max,fixation_PupilSize_max_min,fixation_PupilSize_max_median,fixation_PupilSize_max_std,fixation_PupilSize_min_mean,fixation_PupilSize_min_sum,fixation_PupilSize_min_max,fixation_PupilSize_min_min,fixation_PupilSize_min_median,fixation_PupilSize_min_std,fixation_PupilSize_std_mean,fixation_PupilSize_std_sum,fixation_PupilSize_std_max,fixation_PupilSize_std_min,fixation_PupilSize_std_median,fixation_PupilSize_std_std,fixation_PupilSize_sum_mean,fixation_PupilSize_sum_sum,fixation_PupilSize_sum_max,fixation_PupilSize_sum_min,fixation_PupilSize_sum_median,fixation_PupilSize_sum_std,fixation_PupilPeaksAmplitude_mean_mean,fixation_PupilPeaksAmplitude_mean_sum,fixation_PupilPeaksAmplitude_mean_max,fixation_PupilPeaksAmplitude_mean_min,fixation_PupilPeaksAmplitude_mean_median,fixation_PupilPeaksAmplitude_mean_std,fixation_PupilPeaksAmplitude_median_mean,fixation_PupilPeaksAmplitude_median_sum,fixation_PupilPeaksAmplitude_median_max,fixation_PupilPeaksAmplitude_median_min,fixation_PupilPeaksAmplitude_median_median,fixation_PupilPeaksAmplitude_median_std,fixation_PupilPeaksAmplitude_max_mean,fixation_PupilPeaksAmplitude_max_sum,fixation_PupilPeaksAmplitude_max_max,fixation_PupilPeaksAmplitude_max_min,fixation_PupilPeaksAmplitude_max_median,fixation_PupilPeaksAmplitude_max_std,fixation_PupilPeaksAmplitude_min_mean,fixation_PupilPeaksAmplitude_min_sum,fixation_PupilPeaksAmplitude_min_max,fixation_PupilPeaksAmplitude_min_min,fixation_PupilPeaksAmplitude_min_median,fixation_PupilPeaksAmplitude_min_std,fixation_PupilPeaksAmplitude_std_mean,fixation_PupilPeaksAmplitude_std_sum,fixation_PupilPeaksAmplitude_std_max,fixation_PupilPeaksAmplitude_std_min,fixation_PupilPeaksAmplitude_std_median,fixation_PupilPeaksAmplitude_std_std,fixation_PupilPeaksAmplitude_sum_mean,fixation_PupilPeaksAmplitude_sum_sum,fixation_PupilPeaksAmplitude_sum_max,fixation_PupilPeaksAmplitude_sum_min,fixation_PupilPeaksAmplitude_sum_median,fixation_PupilPeaksAmplitude_sum_std,IsfixationInSpatialCluster_mean,IsfixationInSpatialCluster_sum,IsfixationInSpatialCluster_max,IsfixationInSpatialCluster_min,IsfixationInSpatialCluster_median,IsfixationInSpatialCluster_std,IsfixationInSpatialTemporalCluster_mean,IsfixationInSpatialTemporalCluster_sum,IsfixationInSpatialTemporalCluster_max,IsfixationInSpatialTemporalCluster_min,IsfixationInSpatialTemporalCluster_median,IsfixationInSpatialTemporalCluster_std,Spacecluster_countUniqueClusters,SpaceTimeCluster_countUniqueClusters,non-horizontal saccade_mean,non-horizontal saccade_sum,non-horizontal saccade_max,non-horizontal saccade_min,non-horizontal saccade_median,non-horizontal saccade_std,horizontal saccade_mean,horizontal saccade_sum,horizontal saccade_max,horizontal saccade_min,horizontal saccade_median,horizontal saccade_std,no saccade_mean,no saccade_sum,no saccade_max,no saccade_min,no saccade_median,no saccade_std,saccadic amplitude_mean,saccadic amplitude_sum,saccadic amplitude_max,saccadic amplitude_min,saccadic amplitude_median,saccadic amplitude_std,Sub-scanAverageWeightedDegree_mean,Sub-scanAverageWeightedDegree_sum,Sub-scanAverageWeightedDegree_max,Sub-scanAverageWeightedDegree_min,Sub-scanAverageWeightedDegree_median,Sub-scanAverageWeightedDegree_std,Sub-scanNtranstions_mean,Sub-scanNtranstions_sum,Sub-scanNtranstions_max,Sub-scanNtranstions_min,Sub-scanNtranstions_median,Sub-scanNtranstions_std,Sub-scanNUniqueVisits_mean,Sub-scanNUniqueVisits_sum,Sub-scanNUniqueVisits_max,Sub-scanNUniqueVisits_min,Sub-scanNUniqueVisits_median,Sub-scanNUniqueVisits_std,Sub-scanDensity_mean,Sub-scanDensity_sum,Sub-scanDensity_max,Sub-scanDensity_min,Sub-scanDensity_median,Sub-scanDensity_std,Sub-scanEntropy_mean,Sub-scanEntropy_sum,Sub-scanEntropy_max,Sub-scanEntropy_min,Sub-scanEntropy_median,Sub-scanEntropy_std,label_fragmentHighlighted_,participant,task
add to array,233.9544615,12165.632,649.9107,74.96435,208.320075,117.5509058,362.4688861,6524.43995,649.9107,258.27885,349.95475,102.2673614,599.970575,1199.94115,649.9107,550.03045,599.970575,70.62600208,1,52,1,1,1,0,0.346153846,18,1,0,0,0.480384461,0.038461538,2,1,0,0,0.194183909,1.384615385,72,4,0,1,0.770888109,0.92275866,47.98345032,1.078535898,0.713040523,0.953907558,0.100167945,0.946332575,49.20929389,1.080728021,0.725240517,0.966913797,0.083061561,1.050652335,54.63392144,1.124364346,0.897671583,1.055608968,0.050540561,0.739401264,38.44886572,1.066342806,0.233314944,0.839506067,0.238872707,0.102647805,5.337685881,0.316498624,0.002878159,0.062236004,0.09158762,77.60045142,4035.223474,90.5970154,59.89540393,80.12823488,8.430960249,0.207764304,10.38821522,0.746546236,2.95E-05,0.106521447,0.225522375,0.206738204,10.33691021,0.746546236,3.18E-05,0.106521447,0.226359503,0.242203314,12.11016568,0.746546236,4.21E-05,0.157502528,0.251759318,0.17452292,8.72614601,0.746546236,8.47E-06,0.091575944,0.227345615,0.139243675,2.367142471,0.506804079,1.44E-05,0.059779888,0.16854805,0.243122962,12.64239402,0.815877176,0,0.159754127,0.261461322,0.307692308,16,1,0,0,0.466041382,0.115384615,6,1,0,0,0.322602539,2,3,0.807692308,42,1,0,1,0.397958592,0.115384615,6,1,0,0,0.322602539,0.076923077,4,1,0,0,0.269069118,6.8935303,358.4635756,29.52964612,0,3.08113883,7.8763987,1.955769231,101.7,3.333333333,1.333333333,2,0.566252103,3.980769231,207,6,2,4,1.393125765,4.076923077,212,6,3,4,1.044990925,0.977884615,50.85,1.666666667,0.666666667,1,0.283126052,1.831968984,95.26238715,2.584962501,1,1.921928095,0.529837426,0,20.11,t7_eclipse (C_5.java)
next function,217.1132885,27356.27435,616.5336,66.68905,183.321025,109.7319577,391.0116722,10557.31515,616.5336,258.3247,358.30515,105.1992489,569.94843,2849.74215,616.5336,541.66405,558.2904,30.35727959,1,126,1,1,1,0,0.214285714,27,1,0,0,0.411963937,0.03968254,5,1,0,0,0.195991577,1.380952381,174,4,0,1,0.945364631,0.921075422,116.0555032,1.063890196,0.681067001,0.955765021,0.102596793,0.953727153,120.1696212,1.064313927,0.720281437,0.974103156,0.088031961,1.053622899,132.7564853,1.136576912,0.893528326,1.058529876,0.05181778,0.705333925,88.87207457,1.043355631,0.295362305,0.850796833,0.269819836,0.115356013,14.53485763,0.312856235,0.002342457,0.065338279,0.098468118,77.53477533,9769.381692,89.36677644,57.2096281,80.40949581,8.613226242,0.232339877,26.25440608,0.841214607,6.02E-05,0.091505415,0.283351533,0.231030494,26.10644582,0.841214607,7.45E-06,0.091505415,0.284306098,0.260825663,29.47329986,0.841214607,0.000170074,0.111902371,0.293631177,0.205521022,23.2238755,0.841214607,9.24E-07,0.02962997,0.291531271,0.109049135,4.25291626,0.521610223,9.52E-05,0.040335148,0.158203281,0.237832689,29.96691882,0.841214607,0,0.109965865,0.289340729,0.174603175,22,1,0,0,0.38114281,0.055555556,7,1,0,0,0.229975844,2,3,0.444444444,56,1,0,0,0.498887652,0.53968254,68,1,0,1,0.500412528,0.015873016,2,1,0,0,0.125483193,8.189604575,1031.890176,39.05124838,0,5,7.92677866,1.825132275,229.9666667,4,0,1.666666667,0.899932704,3.087301587,389,6,0,2,1.83311687,3.198412698,403,6,0,3,1.523258829,0.966246499,114.9833333,2,0.5,1,0.402706604,1.354423844,161.1764374,2.584962501,0,1,0.788662238,1,20.11,t7_eclipse (C_5.java)
objects declaration,253.0747047,21764.4246,1349.7961,66.6634,199.951925,198.4263106,441.9048293,12815.24005,1349.7961,266.59075,341.64175,242.6880056,837.3964833,5024.3789,1349.7961,566.6668,741.586825,280.0943839,1,86,1,1,1,0,0.337209302,29,1,0,0,0.4755298,0.069767442,6,1,0,0,0.256248853,1.337209302,115,7,0,1,1.001298746,0.913427922,78.55480127,1.129239655,0.650375985,0.92566137,0.129139618,0.944006409,81.18455119,1.127671411,0.685125471,0.940568505,0.120429098,1.059763852,91.13969127,1.201947556,0.834440711,1.054886105,0.077091638,0.677951903,58.30386362,1.096631966,0.233314944,0.732473371,0.258317976,0.124108138,10.67329985,0.35431062,0.003056025,0.086613559,0.086186419,76.83255966,6607.600131,94.85613099,54.63158271,78.18986161,10.85448726,0.264104372,20.86424535,0.968632611,1.64E-05,0.157060284,0.294387688,0.255435466,20.17940185,0.968632611,1.64E-05,0.103243076,0.299182823,0.295545054,23.34805928,0.968632611,1.64E-05,0.190418167,0.301212532,0.243376921,19.22677679,0.968632611,7.36E-06,0.078954847,0.30512334,0.114896918,2.527732205,0.478475387,1.42E-05,0.051914253,0.142569441,0.275268531,23.67309368,0.968632611,0,0.135880857,0.300100147,0.290697674,25,1,0,0,0.456747557,0.093023256,8,1,0,0,0.292168645,3,4,0.569767442,49,1,0,1,0.498012466,0.406976744,35,1,0,0,0.494151846,0.023255814,2,1,0,0,0.151598866,5.299590483,455.7647815,26.92582404,0,2.532247551,5.833607805,1.754651163,150.9,2.666666667,1,1.666666667,0.532497207,3.255813953,280,5,1,3,1.424045988,3.61627907,311,6,2,3,1.238296787,0.877325581,75.45,1.333333333,0.5,0.833333333,0.266248604,1.422947921,122.3735212,2.321928095,0,1.584962501,0.753136749,0,20.11,t7_eclipse (C_5.java)
other,286.0799833,858.23995,483.2477,166.6664,208.32585,172.0180479,483.2477,483.2477,483.2477,483.2477,483.2477,,,0,,,,,1,3,1,1,1,0,0.333333333,1,1,0,0,0.577350269,0,0,0,0,0,0,6.333333333,19,9,2,8,3.785938897,1.028601369,3.085804106,1.064438525,1.000615627,1.020749954,0.032627812,1.039802176,3.119406529,1.064400292,1.027492321,1.027513916,0.021302596,1.049488666,3.148465999,1.090897918,1.02878404,1.02878404,0.035861464,0.951068395,2.853205186,1.00008213,0.853224717,0.999898339,0.084735161,0.026115715,0.078347145,0.047362215,0.009471057,0.021513874,0.019360208,86.40251497,259.2075449,89.41283612,84.05171264,85.74299615,2.74073622,0.052996402,0.158989207,0.117176383,0.019722684,0.02209014,0.055594098,0.039079828,0.117239484,0.117176383,2.89E-05,3.42E-05,0.067633601,0.195242115,0.585726344,0.232673729,0.176526307,0.176526307,0.032416729,0.000562724,0.001688172,0.001679037,4.57E-06,4.57E-06,0.000966755,0.094847147,0.284541441,0.163337913,0.058801891,0.062401636,0.059342046,0.196192679,0.588578037,0.234352767,0.176721118,0.177504153,0.033049924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1,1,0,0,0.577350269,0.333333333,1,1,0,0,0.577350269,0,0,0,0,0,0,9.340576289,28.02172887,23.02172887,0,5,12.10910616,2.111111111,6.333333333,2.5,1.333333333,2.5,0.673575314,4,12,5,2,5,1.732050808,3.666666667,11,4,3,4,0.577350269,1.055555556,3.166666667,1.25,0.666666667,1.25,0.336787657,1.61461873,4.84385619,1.921928095,1,1.921928095,0.532275434,0,20.11,t7_eclipse (C_5.java)
question,175.3580318,3857.8767,241.65785,66.65855,174.996125,43.89531607,,0,,,,,,0,,,,,1,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.681818182,37,4,0,1.5,0.945483683,0.950257187,20.90565812,1.093154246,0.770111536,0.98365685,0.113111456,0.951415614,20.9311435,1.121990744,0.748820235,0.977715016,0.120474562,1.033284549,22.73226008,1.152351154,0.897187019,1.078907293,0.096286425,0.857357421,18.86186326,1.010718225,0.679256403,0.892155962,0.121421254,0.057825193,1.272154253,0.113507855,0.032139198,0.057388578,0.019304698,79.91372675,1758.101989,91.82495666,64.68936902,82.62717543,9.559785647,0.121661446,2.554890368,0.676682777,0.001271667,0.077728002,0.153183448,0.117689191,2.471473014,0.676682777,0.001222936,0.077728002,0.155741656,0.163200163,3.427203423,0.676682777,0.001690294,0.124406742,0.182665941,0.085551585,1.796583286,0.676682777,0.000881372,0.005859563,0.154926677,0.100404204,1.10444624,0.471975378,0.000416803,0.084443797,0.130091474,0.158015184,3.476334039,0.685891575,0,0.125692575,0.182442286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136363636,3,1,0,0,0.351250087,0.863636364,19,1,0,1,0.351250087,0,0,0,0,0,0,10.53094804,231.6808568,36,2,8,7.973709585,0.874242424,19.23333333,2.4,0,1.333333333,0.775820564,1.590909091,35,6,0,2,1.593411761,2.090909091,46,5,0,3,1.849300792,0.73974359,9.616666667,1.2,0.666666667,0.666666667,0.144263529,1.34690577,17.509775,2.584962501,1,1,0.470686095,0,20.11,t7_eclipse (C_5.java)
while loop,211.607879,26239.377,641.5973,74.98105,208.2999,91.30923423,330.8867903,10257.4905,641.5973,258.24545,324.9298,84.07539741,583.278225,1166.55645,641.5973,524.95915,583.278225,82.47562681,1,124,1,1,1,0,0.25,31,1,0,0,0.434769353,0.016129032,2,1,0,0,0.126482813,1.314516129,163,5,0,1,0.839734138,0.909670924,112.7991946,1.102439669,0.663681741,0.940362949,0.106322019,0.941996871,116.807612,1.102575813,0.701110376,0.964857542,0.096533613,1.042969223,129.3281837,1.133580707,0.850150167,1.049247999,0.04972365,0.703254829,87.20359879,1.095779863,0.221669163,0.780742971,0.233441341,0.112409981,13.93883766,0.305381915,0.001963287,0.086412413,0.081808312,76.50381822,9486.473459,92.60493218,55.74926625,79.41214509,8.973123325,0.200565831,23.46620225,0.853249538,6.66E-05,0.104132127,0.229052269,0.199902443,23.38858581,0.853249538,2.25E-05,0.104132127,0.229615301,0.212827691,24.90083979,0.853249538,6.66E-05,0.120046333,0.22902603,0.18909135,22.123688,0.853249538,1.18E-06,0.088256129,0.23477391,0.062066864,1.924072791,0.448495467,0.00031684,0.036427508,0.091708877,0.204188069,25.31932052,0.853249538,0,0.122194217,0.226902489,0.137096774,17,1,0,0,0.345344824,0.088709677,11,1,0,0,0.285477685,3,5,0.629032258,78,1,0,1,0.485023542,0.346774194,43,1,0,0,0.47787393,0.024193548,3,1,0,0,0.154272996,7.289122234,903.851157,22.84731932,0,6.08276253,5.133754419,1.891129032,234.5,3.333333333,1,2,0.567504703,3.758064516,466,6,1,4,1.639804508,3.89516129,483,6,2,4,1.366370472,0.945564516,117.25,1.666666667,0.5,1,0.283752351,1.648130016,204.368122,2.584962501,0,2,0.816577317,0,20.11,t7_eclipse (C_5.java)
array list definition,158.33099,791.65495,224.973,99.9976,158.31635,51.70960769,,0,,,,,,0,,,,,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,7,2,1,1,0.547722558,0.95829435,4.791471749,1.113589035,0.831444821,0.975992901,0.107345825,0.972865733,4.864328665,1.132317079,0.842223032,0.993273607,0.115948419,1.089139401,5.445697003,1.144407912,1.064806473,1.074648868,0.033252693,0.791702354,3.958511768,1.02705472,0.522002901,0.771510556,0.183390719,0.105237541,0.526187706,0.203379915,0.036500728,0.093756363,0.062964375,80.49672539,402.483627,93.54147898,69.84136499,81.98340372,9.017049278,0.383778432,1.918892158,0.748134746,0.000286593,0.432418609,0.303728547,0.383778432,1.918892158,0.748134746,0.000286593,0.432418609,0.303728547,0.473424786,2.36712393,0.748134746,0.000286593,0.576849921,0.31368152,0.294132077,1.470660387,0.748134746,0.000286593,0.145102534,0.346752053,0.316947725,0.633895451,0.40632629,0.22756916,0.316947725,0.126400379,0.502502611,2.512513057,0.864837219,0.000286593,0.576849921,0.34706097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4,1,0,1,0.447213595,0.2,1,1,0,0,0.447213595,0,0,0,0,0,0,10.42213537,52.11067685,25.63201124,2.236067977,8.062257748,9.136403445,1.776190476,8.880952381,2.285714286,1.5,1.714285714,0.298142397,5.6,28,8,3,6,1.816590212,6.2,31,7,4,7,1.303840481,0.888095238,4.44047619,1.142857143,0.75,0.857142857,0.149071198,2.415363119,12.0768156,3,1.584962501,2.584962501,0.523837636,0,20.11,t6_eclipse (C_4.java)
for loop,193.3992542,53378.19415,658.26275,66.64325,174.963025,92.41580561,347.305004,17365.2502,658.26275,258.29455,308.294075,96.19071962,576.59727,2882.98635,658.26275,508.279,583.2357,55.08559415,1,276,1,1,1,0,0.18115942,50,1,0,0,0.385849848,0.018115942,5,1,0,0,0.133613014,1.289855072,356,6,0,1,0.764702186,0.871630001,240.5698802,1.128208126,0.585948823,0.8778802,0.118620656,0.902530986,249.0985521,1.124778394,0.53730205,0.917469478,0.111797885,1.029631813,284.1783803,1.173900411,0.78875047,1.032810666,0.061000973,0.629556472,173.7575864,1.109527484,0.222257553,0.565337563,0.253142988,0.12944594,35.72707946,0.329654659,0.003712972,0.120570481,0.088643319,73.30196525,20231.34241,94.76948255,49.21970116,73.93522297,9.976330794,0.269499746,68.72243523,0.951642858,7.98E-06,0.132209838,0.274740743,0.264842904,67.5349406,0.951642858,7.98E-06,0.126315939,0.277570311,0.309854579,79.01291754,0.951642858,7.98E-06,0.141238288,0.296650508,0.23380443,59.62012962,0.951642858,4.57E-07,0.090495782,0.283663299,0.169126928,13.19190042,0.583117777,0.000132492,0.066415467,0.185588271,0.296875846,81.93773339,0.97890984,0,0.133156267,0.305633725,0.173913043,48,1,0,0,0.379723219,0.039855072,11,1,0,0,0.19597397,4,4,0.362318841,100,1,0,0,0.481543412,0.619565217,171,1,0,1,0.486375642,0.018115942,5,1,0,0,0.133613014,8.581227228,2368.418715,34.71310992,0,6,6.872093987,1.734144237,478.6238095,4,0,2,1.033539908,2.56884058,709,8,0,3,1.666451897,2.539855072,701,7,0,3,1.487599157,1.031516831,239.3119048,2,0.5,1,0.384130539,1.286170114,298.3914664,3,0,1.5,0.642553727,1,20.11,t6_eclipse (C_4.java)
next function,182.2645732,30255.91915,508.2902,66.6649,174.983,65.69342757,303.5388286,6374.3154,508.2902,258.23815,291.6459,57.82463818,508.2902,508.2902,508.2902,508.2902,508.2902,,1,166,1,1,1,0,0.126506024,21,1,0,0,0.333424595,0.006024096,1,1,0,0,0.077615053,1.295180723,215,7,0,1,0.889453849,0.895869416,148.7143231,1.073299309,0.67096535,0.917552621,0.102428927,0.920405421,152.7872999,1.082851886,0.678707377,0.937126047,0.098792383,1.015250819,168.531636,1.133566534,0.798592814,1.02600482,0.059703671,0.712838696,118.3312235,1.058361086,0.275748675,0.775029602,0.227568361,0.099247781,16.47513171,0.28816356,0.003672708,0.066582873,0.080400025,75.38517929,12513.93976,90.15714195,56.36108942,77.07442014,8.604679382,0.194930592,29.43451933,0.857817859,3.78E-05,0.091406774,0.228121094,0.193778144,29.26049982,0.857817859,2.90E-05,0.091406774,0.22897134,0.221957843,33.51563431,0.857817859,3.78E-05,0.130520164,0.240382891,0.169576957,25.60612052,0.857817859,7.59E-06,0.070445598,0.233956394,0.114305717,5.486674419,0.581481484,0.000132871,0.069484917,0.137957348,0.20792666,34.51582555,0.893296717,0,0.112347178,0.241493225,0,0,0,0,0,0,0.024096386,4,1,0,0,0.153812449,0,2,0.506024096,84,1,0,1,0.501476462,0.487951807,81,1,0,0,0.501367243,0.006024096,1,1,0,0,0.077615053,10.06452491,1670.711135,44.01136217,0,8,8.096046986,2.099770511,348.5619048,4,0,2,0.88278633,3.512048193,583,6,0,3,1.467787252,3.36746988,559,7,0,3,1.419740346,1.103044002,174.2809524,2,0.666666667,1,0.38176635,1.604656971,253.5358014,2.584962501,0.918295834,1.584962501,0.550297165,0,20.11,t6_eclipse (C_4.java)
objects declaration and add to array,216.7344048,20373.03405,1091.582,66.64325,174.972825,159.0975955,407.6105792,9782.6539,1091.582,250.00035,316.626175,212.4217786,812.41845,3249.6738,1091.582,541.56455,808.263625,241.3870175,1,94,1,1,1,0,0.255319149,24,1,0,0,0.438378493,0.042553191,4,1,0,0,0.20292981,1.265957447,119,6,0,1,1.007237593,0.892245911,83.87111562,1.102649297,0.118844143,0.927630054,0.160993487,0.917613129,86.25563416,1.102447999,0.003698853,0.968157462,0.168407196,1.026845909,96.52351541,1.130536738,0.824516332,1.036772767,0.061440133,0.692428536,65.08828238,1.09139719,-0.085500452,0.787572587,0.281790725,0.106456038,10.00686757,0.486773277,0.002770814,0.075991967,0.092032327,75.07830805,7057.360957,92.62254091,9.982908001,78.13635663,13.56017309,0.22158307,17.50506253,0.820919999,8.30E-07,0.10425985,0.240975607,0.215639895,17.03555167,0.820919999,8.30E-07,0.097663215,0.245259705,0.265298713,20.95859833,0.820919999,8.30E-07,0.162130449,0.251184788,0.190818176,15.07463593,0.820919999,8.30E-07,0.051173515,0.251389567,0.13672052,3.691454031,0.496358711,0.000657847,0.112268105,0.127465287,0.229175944,21.54253878,0.820919999,0,0.13189924,0.256261402,0.191489362,18,1,0,0,0.395583025,0.074468085,7,1,0,0,0.263938804,3,3,0.723404255,68,1,0,1,0.449713297,0.244680851,23,1,0,0,0.432202915,0.031914894,3,1,0,0,0.17671602,7.054287297,663.103006,41.23105626,0,4,7.314208362,1.93733536,182.1095238,3.333333333,1,2,0.439078853,4.234042553,398,8,1,4,1.743963672,4.29787234,404,7,2,4,1.374340798,0.96866768,91.0547619,1.666666667,0.5,1,0.219539426,1.91980322,180.4615026,3,0,2,0.675122464,0,20.11,t6_eclipse (C_4.java)
other,191.65645,766.6258,208.33075,158.3119,199.991575,22.57461665,,0,,,,,,0,,,,,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0.816496581,0.941680946,3.766723782,1.022117662,0.885701588,0.929452266,0.058821921,0.955460399,3.821841597,1.048125322,0.912048786,0.930833745,0.064214658,1.072445587,4.289782347,1.095598008,1.018591886,1.087796226,0.036648218,0.710543785,2.842175138,0.834818315,0.460396779,0.773480023,0.169252891,0.112044809,0.448179238,0.146903618,0.075119114,0.113078253,0.031169937,79.10119943,316.4047977,85.85788359,74.39893336,78.07399038,4.941041391,0.224340662,0.673021986,0.322117986,0.028786015,0.322117986,0.169355293,0.224340662,0.673021986,0.322117986,0.028786015,0.322117986,0.169355293,0.224495718,0.673487154,0.322117986,0.029251182,0.322117986,0.169086728,0.224185606,0.672556819,0.322117986,0.028320847,0.322117986,0.169623857,0.000657847,0.000657847,0.000657847,0.000657847,0.000657847,,0.175452,0.701808001,0.322117986,0,0.189845008,0.170978473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1,0,0.5,0.577350269,0.25,1,1,0,0,0.5,0,0,0,0,0,0,8.179893829,32.71957531,14.31782106,0,9.200877125,6.227823264,1.685714286,6.742857143,1.714285714,1.6,1.714285714,0.057142857,5.5,22,6,4,6,1,6.5,26,7,5,7,1,0.842857143,3.371428571,0.857142857,0.8,0.857142857,0.028571429,2.438721876,9.754887502,2.584962501,2,2.584962501,0.29248125,0,20.11,t6_eclipse (C_4.java)
question,157.5695955,1733.26555,366.66005,75.0028,149.99325,79.35301743,366.66005,366.66005,366.66005,366.66005,366.66005,,,0,,,,,1,11,1,1,1,0,0.090909091,1,1,0,0,0.301511345,0,0,0,0,0,0,1.363636364,15,3,0,1,0.924416278,1.005756147,11.06331761,1.065577259,0.898390045,1.024360806,0.051290208,1.029254474,11.32179922,1.064793599,0.952702799,1.036673799,0.033607506,1.079755346,11.87730881,1.092491207,1.057664749,1.082230981,0.011924199,0.869130527,9.560435793,1.053411054,0.619829177,0.888629059,0.155461453,0.06786757,0.746543275,0.18168929,0.007753752,0.056034548,0.059465674,84.57855081,930.3640589,89.50848974,75.46476376,86.04630768,4.399698249,0.209513972,2.095139719,0.719734685,0.028819927,0.091036466,0.275612028,0.209031595,2.090315951,0.719734685,2.51E-05,0.09964886,0.278522126,0.22926163,2.292616298,0.719734685,0.028819927,0.170477793,0.268875067,0.190248691,1.902486908,0.719734685,1.74E-05,0.028819927,0.286333871,0.074127778,0.222383334,0.108957059,0.01501315,0.098413124,0.051465503,0.240647773,2.647125498,0.719734685,0,0.170477793,0.272535882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636364,4,1,0,0,0.504524979,0.636363636,7,1,0,1,0.504524979,0,0,0,0,0,0,13.8128665,151.9415315,36,1,10,10.44151286,1.46969697,16.16666667,1.666666667,1.333333333,1.5,0.125126199,3,33,5,2,3,1.095445115,4,44,6,3,4,1.095445115,0.734848485,8.083333333,0.833333333,0.666666667,0.75,0.062563099,1.506242608,16.56866869,2.321928095,1,1.584962501,0.488548467,0,20.11,t6_eclipse (C_4.java)
add to array,209.1126476,4391.3656,608.2277,74.97415,183.27645,121.3447965,349.9667833,2099.8007,608.2277,258.3025,308.30335,134.5425992,608.2277,608.2277,608.2277,608.2277,608.2277,,1,21,1,1,1,0,0.285714286,6,1,0,0,0.46291005,0.047619048,1,1,0,0,0.21821789,1.523809524,32,3,1,1,0.74960307,0.93131525,19.55762024,1.050329834,0.823752235,0.955916336,0.074566242,0.946875422,19.88438386,1.049319382,0.829923255,0.975921855,0.072849583,1.056697121,22.19063955,1.152282921,0.926750525,1.08186916,0.07819366,0.752331907,15.79897004,0.988231194,0.449078729,0.801095759,0.184994436,0.096577538,2.028128302,0.249508532,0.025854826,0.066643937,0.070715758,78.42124345,1646.846112,89.27803588,69.19518777,80.29697225,6.464387383,0.240993977,5.060873512,0.899692034,0.000111915,0.120392061,0.25578148,0.22900675,4.80914175,0.899692034,0.000111915,0.119948359,0.261435421,0.31911638,6.701443986,0.899692034,0.000111915,0.120392061,0.322142678,0.1748588,3.672034799,0.899692034,2.77E-05,0.082261269,0.261464988,0.254822704,2.038581631,0.536720971,0.000120566,0.251223213,0.241767401,0.329125079,6.911626656,0.899692034,0.000111915,0.120392061,0.327261925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904761905,19,1,0,1,0.300792604,0.095238095,2,1,0,0,0.300792604,0,0,0,0,0,0,7.182662519,150.8359129,26.92582404,1.414213562,5.099019514,6.154658974,1.893650794,39.76666667,2.8,1.5,2,0.358487416,5.333333333,112,7,3,5,1.238278375,5.619047619,118,7,4,6,0.864649668,0.946825397,19.88333333,1.4,0.75,1,0.179243708,2.344525904,49.23504398,2.807354922,1.584962501,2.321928095,0.354655825,0,20.11,t3_eclipse (C_1.java)
