,importance,feature,round
Fixation Count_sum,0.0,Fixation Count_sum,4;13
Sub-scanNUniqueVisits_sum,0.0,Sub-scanNUniqueVisits_sum,4;13
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,4;13
horizontal saccade_sum,0.6740393326363421,horizontal saccade_sum,5;13
Sub-scanNUniqueVisits_sum,0.0668536017687344,Sub-scanNUniqueVisits_sum,5;13
fixation_NumberOfPupilPeaks_sum,0.0432851792402354,fixation_NumberOfPupilPeaks_sum,5;13
saccadic amplitude_sum,0.0406928277714794,saccadic amplitude_sum,5;13
fixation_PupilSize_min_sum,0.0311695565095919,fixation_PupilSize_min_sum,5;13
IsfixationInSpatialCluster_sum,0.0292175988805202,IsfixationInSpatialCluster_sum,5;13
Fixation Duration_sum,0.0292134831460674,Fixation Duration_sum,5;13
fixation_PupilPeaksAmplitude_mean_sum,0.0247309910231258,fixation_PupilPeaksAmplitude_mean_sum,5;13
Fixation Duration 250_sum,0.021885476111228,Fixation Duration 250_sum,5;13
fixation_PupilPeaksAmplitude_min_sum,0.0180656532275831,fixation_PupilPeaksAmplitude_min_sum,5;13
fixation_PupilSize_median_sum,0.011414303549135,fixation_PupilSize_median_sum,5;13
fixation_PupilSize_std_sum,0.0094319961359569,fixation_PupilSize_std_sum,5;13
IsfixationInSpatialTemporalCluster_sum,0.0,IsfixationInSpatialTemporalCluster_sum,5;13
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,5;13
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,5;13
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,5;13
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,5;13
Fixation Count 250_sum,0.0,Fixation Count 250_sum,5;13
Fixation Count_sum,0.0,Fixation Count_sum,5;13
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,5;13
horizontal saccade_sum,0.6469124492621429,horizontal saccade_sum,6;13
Fixation Count 250_sum,0.0897978494902947,Fixation Count 250_sum,6;13
non-horizontal saccade_sum,0.0524563015559166,non-horizontal saccade_sum,6;13
Fixation Duration_sum,0.0436617837670568,Fixation Duration_sum,6;13
fixation_PupilSize_sum_sum,0.031559538007658,fixation_PupilSize_sum_sum,6;13
saccadic amplitude_sum,0.029016962574178,saccadic amplitude_sum,6;13
fixation_PupilPeaksAmplitude_mean_sum,0.0231713996140519,fixation_PupilPeaksAmplitude_mean_sum,6;13
Fixation Count_sum,0.0197301913452814,Fixation Count_sum,6;13
fixation_PupilPeaksAmplitude_median_sum,0.0117647981922038,fixation_PupilPeaksAmplitude_median_sum,6;13
Sub-scanDensity_sum,0.009337141422384,Sub-scanDensity_sum,6;13
fixation_PupilSize_min_sum,0.0089636557654886,fixation_PupilSize_min_sum,6;13
fixation_NumberOfPupilPeaks_sum,0.0084034272801456,fixation_NumberOfPupilPeaks_sum,6;13
fixation_PupilPeaksAmplitude_sum_sum,0.0074697131379072,fixation_PupilPeaksAmplitude_sum_sum,6;13
Sub-scanAverageWeightedDegree_sum,0.0074697131379072,Sub-scanAverageWeightedDegree_sum,6;13
SpaceTimeCluster_countUniqueClusters,0.0050687339150084,SpaceTimeCluster_countUniqueClusters,6;13
IsfixationInSpatialCluster_sum,0.0033389270003869,IsfixationInSpatialCluster_sum,6;13
