,importance,feature,round
fixation_NumberOfPupilPeaks_sum,0.0145441801298869,fixation_NumberOfPupilPeaks_sum,9;6
Sub-scanDensity_sum,0.0114814658843126,Sub-scanDensity_sum,9;6
Fixation Count_sum,0.0099919021075253,Fixation Count_sum,9;6
fixation_PupilSize_median_sum,0.0040299864333416,fixation_PupilSize_median_sum,9;6
Fixation Count_sum,0.2305552397223304,Fixation Count_sum,0;7
fixation_PupilSize_max_sum,0.1386888305695794,fixation_PupilSize_max_sum,0;7
saccadic amplitude_sum,0.0718309483268513,saccadic amplitude_sum,0;7
Sub-scanDensity_sum,0.0536667999335142,Sub-scanDensity_sum,0;7
Fixation Count 250_std,0.0519863522539633,Fixation Count 250_std,0;7
Fixation Duration 250_sum,0.0516379910051738,Fixation Duration 250_sum,0;7
fixation_PupilSize_min_sum,0.0434600905391828,fixation_PupilSize_min_sum,0;7
fixation_PupilPeaksAmplitude_std_sum,0.0390379773854352,fixation_PupilPeaksAmplitude_std_sum,0;7
fixation_PupilPeaksAmplitude_max_sum,0.0373762297923946,fixation_PupilPeaksAmplitude_max_sum,0;7
horizontal saccade_mean,0.0347997899397983,horizontal saccade_mean,0;7
fixation_PupilSize_std_sum,0.0321918410736041,fixation_PupilSize_std_sum,0;7
Fixation Duration_sum,0.0306626405706363,Fixation Duration_sum,0;7
horizontal saccade_std,0.0301156428404837,horizontal saccade_std,0;7
Sub-scanEntropy_sum,0.0287517383111361,Sub-scanEntropy_sum,0;7
fixation_PupilPeaksAmplitude_sum_sum,0.0268515036825598,fixation_PupilPeaksAmplitude_sum_sum,0;7
fixation_NumberOfPupilPeaks_sum,0.0260394026361295,fixation_NumberOfPupilPeaks_sum,0;7
fixation_PupilPeaksAmplitude_median_sum,0.0247553701904114,fixation_PupilPeaksAmplitude_median_sum,0;7
non-horizontal saccade_sum,0.0221664858232927,non-horizontal saccade_sum,0;7
Sub-scanAverageWeightedDegree_sum,0.0193711427877543,Sub-scanAverageWeightedDegree_sum,0;7
horizontal saccade_sum,0.0060539826157678,horizontal saccade_sum,0;7
fixation_PupilPeaksAmplitude_median_sum,0.2277871238823375,fixation_PupilPeaksAmplitude_median_sum,1;7
saccadic amplitude_sum,0.1112348983819984,saccadic amplitude_sum,1;7
fixation_PupilPeaksAmplitude_std_sum,0.0736063036451196,fixation_PupilPeaksAmplitude_std_sum,1;7
fixation_PupilSize_min_sum,0.0645045774842608,fixation_PupilSize_min_sum,1;7
