,importance,feature,round
fixation_NumberOfPupilPeaks_sum,0.0152289129861342,fixation_NumberOfPupilPeaks_sum,7;41
fixation_PupilSize_mean_sum,0.0141409237006701,fixation_PupilSize_mean_sum,7;41
horizontal saccade_sum,0.0104531616329292,horizontal saccade_sum,7;41
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,7;41
fixation_PupilSize_median_sum,0.2798209829364938,fixation_PupilSize_median_sum,8;41
Fixation Duration_sum,0.0817635808846913,Fixation Duration_sum,8;41
fixation_PupilPeaksAmplitude_std_sum,0.0796085081499643,fixation_PupilPeaksAmplitude_std_sum,8;41
non-horizontal saccade_sum,0.07716098782414,non-horizontal saccade_sum,8;41
Fixation Count 250_std,0.0636641564830155,Fixation Count 250_std,8;41
fixation_NumberOfPupilPeaks_sum,0.0482512055301445,fixation_NumberOfPupilPeaks_sum,8;41
saccadic amplitude_sum,0.0423229509557141,saccadic amplitude_sum,8;41
horizontal saccade_std,0.0372220548478168,horizontal saccade_std,8;41
fixation_PupilSize_std_sum,0.0371514367424772,fixation_PupilSize_std_sum,8;41
fixation_PupilSize_max_sum,0.0351933448893384,fixation_PupilSize_max_sum,8;41
fixation_PupilSize_min_sum,0.0303218436009863,fixation_PupilSize_min_sum,8;41
Sub-scanAverageWeightedDegree_sum,0.0295490894960629,Sub-scanAverageWeightedDegree_sum,8;41
fixation_PupilPeaksAmplitude_mean_sum,0.0289012503184934,fixation_PupilPeaksAmplitude_mean_sum,8;41
fixation_PupilPeaksAmplitude_sum_sum,0.0251881922703879,fixation_PupilPeaksAmplitude_sum_sum,8;41
horizontal saccade_mean,0.0234465475107186,horizontal saccade_mean,8;41
Sub-scanNUniqueVisits_sum,0.022448631302028,Sub-scanNUniqueVisits_sum,8;41
Sub-scanNtranstions_sum,0.0179123885756903,Sub-scanNtranstions_sum,8;41
fixation_PupilPeaksAmplitude_max_sum,0.0171113373974683,fixation_PupilPeaksAmplitude_max_sum,8;41
Fixation Count_sum,0.0130803239325931,Fixation Count_sum,8;41
Sub-scanDensity_sum,0.0098811863517745,Sub-scanDensity_sum,8;41
fixation_PupilSize_sum_sum,0.2407463231894376,fixation_PupilSize_sum_sum,9;41
saccadic amplitude_sum,0.0859244234378656,saccadic amplitude_sum,9;41
Sub-scanAverageWeightedDegree_sum,0.066115269425241,Sub-scanAverageWeightedDegree_sum,9;41
Fixation Duration_sum,0.0626024369045537,Fixation Duration_sum,9;41
fixation_PupilPeaksAmplitude_sum_sum,0.0578768160024059,fixation_PupilPeaksAmplitude_sum_sum,9;41
horizontal saccade_sum,0.0566941967394912,horizontal saccade_sum,9;41
non-horizontal saccade_sum,0.0495632091006243,non-horizontal saccade_sum,9;41
fixation_PupilPeaksAmplitude_std_sum,0.048173971018323,fixation_PupilPeaksAmplitude_std_sum,9;41
fixation_NumberOfPupilPeaks_sum,0.0421331627777043,fixation_NumberOfPupilPeaks_sum,9;41
Sub-scanDensity_sum,0.0397668529925837,Sub-scanDensity_sum,9;41
horizontal saccade_std,0.038819292275903,horizontal saccade_std,9;41
fixation_PupilPeaksAmplitude_median_sum,0.0386115287305557,fixation_PupilPeaksAmplitude_median_sum,9;41
fixation_PupilSize_std_sum,0.0374691352642886,fixation_PupilSize_std_sum,9;41
fixation_PupilSize_min_sum,0.0360834981587148,fixation_PupilSize_min_sum,9;41
Fixation Count 250_sum,0.0245988467236756,Fixation Count 250_sum,9;41
Fixation Count_sum,0.0228937114885851,Fixation Count_sum,9;41
fixation_PupilSize_mean_sum,0.0221830626719855,fixation_PupilSize_mean_sum,9;41
fixation_PupilSize_max_sum,0.0155145992816202,fixation_PupilSize_max_sum,9;41
fixation_PupilSize_median_sum,0.0130410290838098,fixation_PupilSize_median_sum,9;41
Sub-scanNUniqueVisits_sum,0.0011886347326308,Sub-scanNUniqueVisits_sum,9;41
fixation_PupilSize_std_sum,0.2812027207693908,fixation_PupilSize_std_sum,0;42
fixation_PupilSize_min_sum,0.0888907352569426,fixation_PupilSize_min_sum,0;42
Fixation Duration_sum,0.0864086045376583,Fixation Duration_sum,0;42
fixation_PupilPeaksAmplitude_sum_sum,0.0564631865397054,fixation_PupilPeaksAmplitude_sum_sum,0;42
fixation_PupilSize_max_sum,0.0526992318828402,fixation_PupilSize_max_sum,0;42
Sub-scanEntropy_sum,0.0501338619940979,Sub-scanEntropy_sum,0;42
Sub-scanNtranstions_sum,0.048298546528644,Sub-scanNtranstions_sum,0;42
Fixation Duration 250_sum,0.0372362763331245,Fixation Duration 250_sum,0;42
non-horizontal saccade_sum,0.0346053620957282,non-horizontal saccade_sum,0;42
