,importance,feature,round
fixation_PupilPeaksAmplitude_mean_sum,0.0148847926267281,fixation_PupilPeaksAmplitude_mean_sum,6;1
fixation_NumberOfPupilPeaks_sum,0.0114322524014809,fixation_NumberOfPupilPeaks_sum,6;1
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,6;1
SpaceTimeCluster_countUniqueClusters,0.0,SpaceTimeCluster_countUniqueClusters,6;1
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,6;1
Fixation Count 250_sum,0.0,Fixation Count 250_sum,6;1
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,6;1
horizontal saccade_sum,0.6479735164940041,horizontal saccade_sum,7;1
Fixation Duration_sum,0.0855352983645666,Fixation Duration_sum,7;1
Sub-scanNtranstions_sum,0.0626990538526794,Sub-scanNtranstions_sum,7;1
fixation_NumberOfPupilPeaks_sum,0.048302016321871,fixation_NumberOfPupilPeaks_sum,7;1
fixation_PupilSize_median_sum,0.0217519013899816,fixation_PupilSize_median_sum,7;1
Fixation Count 250_sum,0.0188237608182533,Fixation Count 250_sum,7;1
fixation_PupilSize_std_sum,0.0187042448765501,fixation_PupilSize_std_sum,7;1
fixation_PupilSize_sum_sum,0.0167322318384474,fixation_PupilSize_sum_sum,7;1
fixation_PupilPeaksAmplitude_sum_sum,0.0150590086546026,fixation_PupilPeaksAmplitude_sum_sum,7;1
fixation_PupilPeaksAmplitude_mean_sum,0.0143419130043835,fixation_PupilPeaksAmplitude_mean_sum,7;1
fixation_PupilPeaksAmplitude_max_sum,0.0117125622869131,fixation_PupilPeaksAmplitude_max_sum,7;1
saccadic amplitude_sum,0.0092992596179063,saccadic amplitude_sum,7;1
fixation_PupilSize_mean_sum,0.0083661159192237,fixation_PupilSize_mean_sum,7;1
Fixation Count_sum,0.0083661159192237,Fixation Count_sum,7;1
fixation_PupilPeaksAmplitude_median_sum,0.0057041699449252,fixation_PupilPeaksAmplitude_median_sum,7;1
fixation_PupilSize_max_sum,0.0049231374447739,fixation_PupilSize_max_sum,7;1
Sub-scanAverageWeightedDegree_sum,0.0017056932516937,Sub-scanAverageWeightedDegree_sum,7;1
Fixation Duration 250_sum,0.0,Fixation Duration 250_sum,7;1
